ID;username;vote;from_cali
1;dg1501_;concho;1
2;lauramurcia_;cuncho;1
3;p.castro22;cuncho;1
4;nathz_boo1;concho;1
5;camibuitragoc;cuncho;0
6;jdlondono18;concho;1
7;andrea.navarro;concho;1
8;danielanarvaezp_;concho;1
9;juanslemos;cuncho;0
10;mariadelmarrojasa;cuncho;0
11;ing.baptist;concho;0
12;m.valenciae;concho;1
13;veronica.ortiz03;concho;1
14;mjjs.11;concho;1
15;juanobregon01;concho;1
16;juanestebancardonam;concho;1
17;christianromo321;concho;1
18;juanfelipeescobarb;concho;1
19;sebas12238;concho;1
20;manurivsss;concho;1
21;lfpavac;concho;1
22;nriveral00;concho;1
23;marianacadaviddv;concho;1
24;camilavanarcken;concho;1
25;natgonzc;concho;1
26;dacalde;concho;1
27;j.saldarriaga;concho;1
28;antonellalores;concho;0
29;juansanta98;concho;1
30;lauracorralesm;concho;1
31;imfranco_5;concho;1
32;valentinapinedarc;concho;1
33;javiermperafan;concho;1
34;valenciajuangui;concho;1
35;jjrincon_23;concho;0
36;isabellagomezc;concho;1
37;sebsvalencia;concho;1
38;the.majopadilla;concho;1
39;izapata_o;concho;1
40;gatafluida;cuncho;0
41;cami_lcop;cuncho;0
42;smg_2708;cuncho;0
43;stobar7;cuncho;0
44;santiagoboteroleon;cuncho;1
45;lmoralesver;cuncho;0
46;carvitax;cuncho;0
47;kevin_lopez1307;cuncho;0
48;laurapincay2;cuncho;1
49;juanapinerozruiz;cuncho;1
50;alejoocamelo;cuncho;0
51;piperuiz32;cuncho;0
52;joevincq;cuncho;1
53;juanitamejia23;cuncho;0
54;jenniferkrincon;cuncho;0
55;juanisbnanis;cuncho;0
56;josegricop;cuncho;0
57;majose.ocampo;cuncho;0
58;andres.quintero22;cuncho;1
59;juan_rueds;cuncho;1
60;brigithmina;cuncho;1
61;lucia_maldonador;cuncho;0
62;nataliahdezg;cuncho;0
63;danielasmartinezg;cuncho;1
64;andresmolanoe;cuncho;0
65;julianagalvisan;cuncho;0
66;sampercatalina;cuncho;0
67;camil_rive;cuncho;0
68;elena.nicholls;cuncho;1
69;nico.alvarez04;cuncho;0
70;lauayerbe22;cuncho;1
71;guillo99vp;cuncho;0
72;mv.daza;cuncho;0
73;stefanzaldua;cuncho;0
74;amoc9;cuncho;0
75;santibrito97;cuncho;0
76;don_maldo_maldonado;cuncho;0
77;c_milaguevara;cuncho;0
78;g.arevalo18;cuncho;1
79;daniela_zuniga99;cuncho;0
80;lina_alvarado21;cuncho;0
81;danitrivera;concho;1
82;esteban35cardona;cuncho;0
